term,tokens,label_count,word_boundary_occurrences,category,status,quarantine_reason,hebrew_script,source
rami levy,2,2,3,shopping,active,,,english-hebrew-mixed-sentences
shul,1,2,3,religious,active,,,english-hebrew-mixed-sentences
supermarket,1,2,0,shopping,quarantined,english_homograph|never_occurs,,english-hebrew-mixed-sentences
tayelet,1,2,3,places,active,,,english-hebrew-mixed-sentences
tefillin,1,2,3,religious,active,,,english-hebrew-mixed-sentences
teudat oleh,2,2,3,immigration,active,,,english-hebrew-mixed-sentences
tzimmer,1,2,3,tourism,active,,,english-hebrew-mixed-sentences
yom hazikaron,2,2,3,commemoration,active,,,english-hebrew-mixed-sentences
atem,1,1,0,general,quarantined,never_occurs,,english-hebrew-mixed-sentences
baby,1,1,2,family,quarantined,english_homograph,,english-hebrew-mixed-sentences
bar mitzvah,2,1,1,religious,active,,,english-hebrew-mixed-sentences
chanukah,1,1,1,religious,quarantined,english_homograph,,english-hebrew-mixed-sentences
chicken soup,2,1,1,food,quarantined,english_homograph,,english-hebrew-mixed-sentences
eilat,1,1,2,places,active,,,english-hebrew-mixed-sentences
ein,1,1,0,nature,quarantined,never_occurs,,english-hebrew-mixed-sentences
galil,1,1,1,places,active,,,english-hebrew-mixed-sentences
herzliya,1,1,1,places,active,,,english-hebrew-mixed-sentences
negev,1,1,2,places,quarantined,english_homograph,,english-hebrew-mixed-sentences
netanya,1,1,1,places,active,,,english-hebrew-mixed-sentences
olim,1,1,2,immigration,active,,,english-hebrew-mixed-sentences
rosh pina,2,1,1,places,active,,,english-hebrew-mixed-sentences
savta,1,1,3,family,active,,,english-hebrew-mixed-sentences
yom kippur,2,1,1,religious,active,,,english-hebrew-mixed-sentences
